,Unnamed: 0.1,Unnamed: 0,0,DT,KNN,LR,SVM,NB,RF,XGB
0,0,0,Normal,0.9966565511999004,0.983888598450644,0.984130713119472,0.9827252577138234,0.2084818057077212,0.9973300106799573,0.9979873302737587
1,1,1,RDOS,0.9999646055286164,0.9994516089087018,0.9988850544199628,0.9992566108534816,0.9955828827873776,0.9999823018246818,0.9999823018246818
2,2,2,Scanning vulnerability,0.9982022897152047,0.995985453171492,0.93931701709852,0.928922049872374,0.5205210447077305,0.9997634703628365,0.9999054015703339
3,3,3,Generic scanning,0.9986585184081086,0.9964257347100874,0.9413901433339878,0.9361763712673066,0.7855011692605434,0.9987568992093879,0.9996519317786287
4,4,4,Brute Force,0.9998941686951,0.9974662162162162,0.9963601835733502,0.9960912740333826,0.9052449401471084,1.0,0.9999470815473356
5,5,5,MQTT cloud broker subscription,0.9989373007438896,0.9776262518644788,0.993634627625716,0.9950153780888747,0.2828358208955224,0.9993622448979591,0.9992561895654022
6,6,6,Discovering Resources,0.972568578553616,0.9062795834648154,0.7480376766091053,0.7226267344415441,0.2084108333711382,0.9801883728483274,0.9850649350649351
7,7,7,Exfiltration,0.9988708220415538,0.965648854961832,0.9746920492721164,0.979692033028342,0.863439395815278,0.9994353472614341,0.9992096646720108
8,8,8,Insider Malcious,0.9987107864202835,0.9419514203375876,0.968740955137482,0.9779979600757686,0.7656509695290858,0.9992833596101477,0.9989961279219849
9,9,9,Modbus Register Reading,0.999580008399832,0.9724612736660928,0.999159663865546,0.9773755656108596,0.9970551114850652,0.9974768713204374,0.9978982765868012
10,10,10,False Data Injection,0.998530132288094,0.875880758807588,0.968503937007874,0.9730524252817244,0.7162691349234604,0.9965736661771902,0.9970588235294118
11,11,11,Command and Control,0.9400352733686068,0.7638483965014579,0.7937671860678277,0.8157453936348409,0.199236641221374,0.9410698096101541,0.9570661896243292
12,12,12,Dictionary,1.0,0.9733990147783252,0.997078870496592,0.8771331058020477,0.8530884808013356,1.0,1.0
13,13,13,TCP Relay,0.8353808353808354,0.6357039187227868,0.7728531855955679,0.7921348314606741,0.4742857142857142,0.8494623655913979,0.888888888888889
14,14,14,Fuzzing,0.8616600790513834,0.5518987341772151,0.2857142857142857,0.0,0.0353194743794757,0.8704883227176222,0.9079754601226994
15,15,15,Reverse shell,0.9379652605459056,0.7590361445783134,0.8483146067415731,0.766990291262136,0.6527777777777777,0.9775561097256857,0.9875930521091811
16,16,16,Crypto Ransomware,0.9834254143646408,0.9723756906077348,0.907103825136612,0.9080459770114944,0.5229885057471264,1.0,1.0
