,Unnamed: 0,0,DT,KNN,LR,SVM,NB,XGB,RF
0,0,Normal,0.989674288025505,0.9823515056278758,0.9837019106483984,0.9822939820652524,0.628975892431983,0.9942776579863991,0.9941091843440473
1,1,RDOS,0.9997876331716986,0.9992218999787792,0.9988148095735082,0.9992214869599064,0.9866961916310786,0.9999469054740456,0.9998230339067035
2,2,Scanning vulnerability,0.9947980705570794,0.9956591488157026,0.9564383955527866,0.9572918154549348,0.5190065298507462,0.9992901424447493,0.9972498814604077
3,3,Generic scanning,0.9961221040071592,0.9963780699578269,0.9560013734242409,0.9608027284859868,0.7774982472058399,0.9983086260073625,0.9972180824639841
4,4,Brute Force,0.9996825396825396,0.9976768743400212,0.9980457402419056,0.9972451790633609,0.8529838520945472,1.0,1.0
5,5,MQTT cloud broker subscription,0.9905630367935532,0.9721064443731966,0.9905469994689324,0.9923696481559984,0.8485627697676554,0.9975581271897228,0.9952264771401294
6,6,Discovering Resources,0.9029652460410243,0.9031714255610578,0.7430226434965772,0.7169811320754719,0.2348173820314583,0.9360186936686324,0.9435385468663339
7,7,Exfiltration,0.9936794582392776,0.9616694124107632,0.9914259927797834,0.9904311606439266,0.8948629780139629,0.9971722655808167,0.9981924988703118
8,8,Insider Malcious,0.994989262705798,0.9429502852485736,0.9895250394604678,0.9939931350114416,0.8921748233446741,0.996422950350551,0.9979936944683291
9,9,Modbus Register Reading,0.997485331098072,0.9706896551724138,0.9983221476510068,0.9737704918032788,0.9453530115676106,0.99748322147651,0.998320738874895
10,10,False Data Injection,0.96248766041461,0.8763326226012794,0.9603911980440096,0.9619000494804552,0.7979966611018364,0.9916625796959294,0.9822660098522167
11,11,Command and Control,0.7796610169491526,0.8015122873345937,0.8144144144144143,0.8159866777685262,0.1953924914675768,0.878316559926807,0.8541862652869238
12,12,Dictionary,0.9970845481049564,0.9714847590953786,0.9980506822612086,0.9081272084805654,0.8284789644012946,1.0,1.0
13,13,TCP Relay,0.7184241019698725,0.6598540145985402,0.7580853816300129,0.7755681818181819,0.478711162255466,0.8059299191374663,0.7983193277310924
14,14,Fuzzing,0.6389413988657846,0.5756823821339951,0.3215258855585831,0.0,0.0690836425920639,0.8497854077253219,0.7393364928909952
15,15,Reverse shell,0.8997555012224939,0.7407407407407408,0.8650137741046833,0.8834688346883469,0.2067901234567901,0.9850746268656716,0.9774436090225564
16,16,Crypto Ransomware,0.9550561797752808,0.9662921348314606,0.9230769230769232,0.9058823529411764,0.2229965156794425,1.0,0.9600000000000001
